id,gameTitle,subTitle,gameSystem,nowPlaying,gameStatus,gameHours,gameMinutes,addDate,startDate,beatDate,completeDate,gameNotes
72,Final Fantasy,,GBA,N,Completed,21,39,,,,,
73,Final Fantasy II,,GBA,N,Completed,6,13,,,,,
74,Final Fantasy IV,,GBA,N,Completed,35,7,,,,,
75,Final Fantasy Tactics Advance,,GBA,N,Completed,97,35,,,,,
76,Final Fantasy V,,GBA,N,Beaten,32,9,,,,,
77,F-Zero: Maximum Velocity,,GBA,N,Completed,,,,,,,
78,Golden Sun,,GBA,N,Completed,29,59,,,,,
79,Golden Sun: The Lost Age,,GBA,N,Mastered,54,0,,,,,Playtime estimated...but it's a true 100%.
80,Kirby & The Amazing Mirror,,GBA,N,Completed,,,,,,,
81,Kirby: Nightmare in Dream Land,,GBA,N,Completed,,,,,,,
82,Mario vs. Donkey Kong,,GBA,N,Completed,,,,,,,
83,Matt Hoffman's Pro BMX,,GBA,N,Completed,,,,,,,
84,Metal Slug Advance,,GBA,N,Beaten,,,,,,,
85,Pokemon Ruby,,GBA,N,Completed,300,0,,,,,Top 10 most regrettable trade-ins...playtime estimated.
86,Super Mario World: Super Mario Advance 2,,GBA,N,Completed,,,,,,,
87,The Legend of Zelda: A Link to the Past/Four Swords,,GBA,N,Completed,,,,,,,
88,"Wario Ware, Inc. Mega Microgame$!",,GBA,N,Completed,,,,,,,
89,Animal Crossing,,GCN,N,Infinite,,,,,,,
90,Baten Kaitos: Eternal Wings and the Lost Ocean,,GCN,N,Beaten,,,,,,,
91,Donkey Konga,,GCN,N,Beaten,,,,,,,
92,Final Fantasy Crystal Chronicles,,GCN,N,Completed,,,,,,,
93,Hello Kitty: Roller Rescue,,GCN,N,Completed,,,,,,,
94,Kirby Air Ride,,GCN,N,Completed,,,,,,,
95,Luigi's Mansion,,GCN,N,Completed,,,,,,,
96,Mario Golf Toadstool Tour (Target Special Edition),,GCN,N,Beaten,,,,,,,
97,Mario Kart: Double Dash!!,,GCN,N,Completed,,,,,,,
98,Metroid Prime,,GCN,N,Completed,14,20,,,,,
99,Metroid Prime 2: Echoes,,GCN,N,Beaten,14,34,,,,,
100,PAC-MAN World 2,,GCN,N,Beaten,10,42,,,,,
101,Paper Mario: The Thousand Year Door,,GCN,N,Beaten,22,44,,,,,
102,Pikmin,,GCN,N,Completed,,,,,,,
103,Shadow the Hedgehog,,GCN,N,Completed,,,,,,,
104,Sonic Adventure 2: Battle,,GCN,N,Beaten,24,55,,,,,
105,Super Mario Sunshine,,GCN,N,Completed,,,,,,,
106,Super Monkey Ball 2,,GCN,N,Completed,,,,,,,
107,Super Smash Bros. Melee,,GCN,N,Completed,286,14,,,,,
108,The Legend of Zelda: Four Swords Adventures,,GCN,N,Completed,,,,,,,
109,The Legend of Zelda: Twilight Princess,,GCN,N,Beaten,,,,,,,
110,The Legend of Zelda: Wind Waker,,GCN,N,Beaten,,,,,,,
111,Tony Hawk's Pro Skater 4,,GCN,N,Completed,,,,,,,
112,Wario Ware Inc: Mega Party Games!,,GCN,N,Beaten,,,,,,,
113,ATV Offroad Fury 3,,PS2,N,Completed,18,20,,,,,
114,Dance Dance Revolution Extreme (JP),,PS2,N,Completed,,,,,,,
115,Dance Dance Revolution Extreme 2,,PS2,N,Mastered,,,,,,,
116,Dance Dance Revolution SuperNOVA,,PS2,N,Completed,,,,,,,
